Transcript_ID	Locus_ID	Description	RAP-DB Gene Symbol Synonym(s)	RAP-DB Gene Name Synonym(s)	CGSNL Gene Symbol	CGSNL Gene Name	Oryzabase Gene Symbol Synonym(s)	Oryzabase Gene Name Synonym(s)	GO	InterPro	Transcript evidence	ORF evidence	Curation Date	Literature PMID	FLcDNA clone ID	Oryzabase Trait Gene ID
Os08t0180000-02	Os08g0180000	mRNA capping enzyme, large subunit family protein.							Biological Process: mRNA capping (GO:0006370), Molecular Function: mRNA (guanine-N7-)-methyltransferase activity (GO:0004482)	mRNA capping enzyme, large subunit (IPR004971), mRNA (guanine-N(7))-methyltransferase (IPR016899)	AK063927 (DDBJ, Best hit)	B9FZD4 (UniProt)			001-123-C08	
Os08t0180100-01	Os08g0180100	Similar to SET domain-containing protein.					OsSET27, SDG701	SET protein 27, SET DOMAIN GROUP701, SET DOMAIN GROUP 701	Molecular Function: protein binding (GO:0005515)	SET domain (IPR001214)	AK121489 (DDBJ, Best hit)	XP_002870257.1 (RefSeq)			J023150L05	13391
Os08t0180100-02	Os08g0180100	Similar to SET domain protein.					OsSET27, SDG701	SET protein 27, SET DOMAIN GROUP701, SET DOMAIN GROUP 701			AK058948 (DDBJ, Best hit)	XP_002870257.1 (RefSeq)			001-020-A05	13391
Os08t0180300-01	Os08g0180300	DEAD-like helicase, N-terminal domain containing protein.			EDA16	EMBRYO SAC DEVELOPMENT ARREST 16	BRHIS1, OsEDA16	BIT-responsive Histone-interacting SNF2 ATPase 1, embryo sac development arrest 16	Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: helicase activity (GO:0004386), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: zinc ion binding (GO:0008270)	SNF2-related (IPR000330), Helicase, C-terminal (IPR001650), Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083), DEAD-like helicase (IPR014001), Zinc finger, RING-type, conserved site (IPR017907), Zinc finger, C3HC4 RING-type (IPR018957)	AK100130 (DDBJ, Best hit)	Q25A47 (UniProt)			J023009O07	19921
Os08t0180300-02	Os08g0180300	Hypothetical conserved gene.			EDA16	EMBRYO SAC DEVELOPMENT ARREST 16	BRHIS1, OsEDA16	BIT-responsive Histone-interacting SNF2 ATPase 1, embryo sac development arrest 16	Molecular Function: DNA binding (GO:0003677), Molecular Function: ATP binding (GO:0005524)	SNF2-related (IPR000330)	AK098970 (DDBJ, Best hit)	B8BBD4 (UniProt)			J013088O13	19921
Os08t0180300-03	Os08g0180300	DEAD-like helicase, N-terminal domain containing protein.			EDA16	EMBRYO SAC DEVELOPMENT ARREST 16	BRHIS1, OsEDA16	BIT-responsive Histone-interacting SNF2 ATPase 1, embryo sac development arrest 16	Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: helicase activity (GO:0004386), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: zinc ion binding (GO:0008270)	SNF2-related (IPR000330), Helicase, C-terminal (IPR001650), Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083), DEAD-like helicase (IPR014001), Zinc finger, RING-type, conserved site (IPR017907), Zinc finger, C3HC4 RING-type (IPR018957)	AK070470 (DDBJ, Best hit)	Q25A47 (UniProt)			J023054E15	19921
Os08t0180400-00	Os08g0180400	Similar to Kinesin-like protein.									ab initio prediction	B6TG31 (UniProt)				
Os08t0180500-00	Os08g0180500	Zinc finger, BED-type predicted domain containing protein.							Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein dimerization activity (GO:0046983)	Zinc finger, BED-type predicted (IPR003656), HAT dimerisation (IPR008906), Ribonuclease H-like (IPR012337)	BT066351 (DDBJ)	B9FZD7 (UniProt)				
Os08t0180950-00	Os08g0180950	Hypothetical conserved gene.									ab initio prediction	A2YRV2 (UniProt)				
Os08t0181750-01	Os08g0181750	Conserved hypothetical protein.									AK288341 (DDBJ, Best hit)	Q6Z854 (UniProt)			J090023G20	
Os08t0181925-00	Os08g0181925	Conserved hypothetical protein.									EU953629 (DDBJ)	Q6Z9T3 (UniProt)				
Os08t0182400-01	Os08g0182400	Conserved hypothetical protein.									AK059491 (DDBJ, Best hit)	NP_001061148.1 (RefSeq)			001-028-H01	
Os08t0183900-01	Os08g0183900	Similar to dihydroflavonol-4-reductase.			CCR29	CINNAMOYL-COA REDUCTASE 29	OsCCR29	Cinnamoyl-CoA reductase 29	Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)	NAD-dependent epimerase/dehydratase (IPR001509), NAD(P)-binding domain (IPR016040)	AK240684 (DDBJ, Best hit)	B6T7H1 (UniProt)			J043001P15	22254
Os08t0184300-01	Os08g0184300	Hypothetical protein.									AK107574 (DDBJ, Best hit)	longestORF			002-130-D06	
Os08t0184600-01	Os08g0184600	Conserved hypothetical protein.									AK103059 (DDBJ, Best hit)	B9FZE1 (UniProt)			J033117L12	
Os08t0184600-02	Os08g0184600	Conserved hypothetical protein.									AK071991 (DDBJ, Best hit)	B9FZE1 (UniProt)			J013092P07	
Os08t0184600-03	Os08g0184600	Conserved hypothetical protein.									AK099057 (DDBJ, Best hit)	B9FZE1 (UniProt)			J013155E13	
Os08t0184700-00	Os08g0184700	Conserved hypothetical protein.									ab initio prediction	Q5N7G2 (UniProt)				
Os08t0184800-02	Os08g0184800	Conserved hypothetical protein.									AK072453 (DDBJ, Best hit), AK066827 (DDBJ, Best hit), AK071706 (DDBJ, Best hit)	B7ECP6 (UniProt)			J023119K08, J013075C16, J023112F07	
Os08t0184800-03	Os08g0184800	Conserved hypothetical protein.									AK104021 (DDBJ, Best hit)	NP_001175554.1 (RefSeq)			001-008-D04	
Os08t0185300-01	Os08g0185300	Conserved hypothetical protein.									AK099155 (DDBJ, Best hit)	NP_001061141.1 (RefSeq)			J023072O13	
Os08t0185701-00	Os08g0185701	Non-protein coding transcript.									CT836036 (DDBJ, Best hit)	NONE				
Os08t0185900-01	Os08g0185900	Conserved hypothetical protein.									AK108323 (DDBJ, Best hit)	B8BBD9 (UniProt)			002-141-H04	
Os08t0186200-00	Os08g0186200	Hypothetical conserved gene.									ab initio prediction	B9FZE4 (UniProt)				
Os08t0187500-01	Os08g0187500	Similar to Roc1.			ROC1	RICE OUTMOST CELL-SPECIFIC GENE 1	Roc1(t), GL2-1	Rice outmost cell-specific gene 1(t), Rice outermost cell-specific gene-1, Homeobox-leucine zipper protein ROC1, Homeodomain transcription factor ROC1, HD-ZIP protein ROC1, Protein RICE OUTERMOST CELL-SPECIFIC 1, GLABRA 2-like homeobox protein 1	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: transcription regulatory region sequence-specific DNA binding (GO:0000976), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: sequence-specific DNA binding (GO:0043565)	Helix-turn-helix motif, lambda-like repressor (IPR000047), Homeobox (IPR001356), Homeodomain-like (IPR009057), Homeodomain-related (IPR012287), Homeobox, conserved site (IPR017970)	AK120496 (DDBJ, Best hit)	Q6ZAR0 (UniProt)			J013120I03	2862
Os08t0187500-02	Os08g0187500	GL2-type homeobox gene, Protoderm differentiation and radial pattern formation during early rice embryogenesis	Roc1	Rice outermost cell-specific gene 1	ROC1	RICE OUTMOST CELL-SPECIFIC GENE 1	Roc1(t), GL2-1	Rice outmost cell-specific gene 1(t), Rice outermost cell-specific gene-1, Homeobox-leucine zipper protein ROC1, Homeodomain transcription factor ROC1, HD-ZIP protein ROC1, Protein RICE OUTERMOST CELL-SPECIFIC 1, GLABRA 2-like homeobox protein 1	Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: lipid binding (GO:0008289), Molecular Function: sequence-specific DNA binding (GO:0043565)	Homeobox-like domain superfamily (IPR009057), START-like domain superfamily (IPR023393), Homeobox domain (IPR001356), START domain (IPR002913), Homeobox, conserved site (IPR017970)	AB077993	Q6ZAR0	June 15, 2021	11846882		2862
Os08t0187600-00	Os08g0187600	Non-protein coding transcript.									BT086509 (DDBJ)	NONE				
Os08t0187700-01	Os08g0187700	ENTH/VHS domain containing protein.							Cellular Component: intracellular (GO:0005622), Molecular Function: zinc ion binding (GO:0008270)	RNA polymerase II, large subunit, CTD (IPR006569), Domain of unknown function DUF618 (IPR006903), Zinc finger, C2H2 (IPR007087), ENTH/VHS (IPR008942)	AK099689 (DDBJ, Best hit)	A2YRX5 (UniProt)			J013073B17	
Os08t0187800-01	Os08g0187800	Glucose 6-phosphate/phosphate translocator, Starch biosynthesis	OsGPT1	glucose 6-phosphate/phosphate translocator 1	GPT1	GLUCOSE 6-PHOSPHATE/PHOSPHATE TRANSLOCATOR 1	OsGPT1		Biological Process: transmembrane transport (GO:0055085), Molecular Function: transmembrane transporter activity (GO:0022857), Cellular Component: integral component of membrane (GO:0016021)	Triose phosphate/phosphoenolpyruvate translocator (IPR004696), Sugar phosphate transporter domain (IPR004853)	AK060577	Q6YZC3	July 23, 2019	22870386, 16362329	001-023-E05	8721
Os08t0187900-00	Os08g0187900	Ubiquitin-conjugating enzyme, E2 domain containing protein.								Kua-ubiquitin conjugating enzyme hybrid, localisation (IPR019547)	ab initio prediction	Q6YZC2 (UniProt)				
Os08t0188000-01	Os08g0188000	RNA-binding, CRM domain domain containing protein.							Molecular Function: RNA binding (GO:0003723)	RNA-binding, CRM domain (IPR001890)	AK107337 (DDBJ, Best hit)	NP_200300.1 (RefSeq)			002-126-F11	23506
Os08t0188151-00	Os08g0188151	Hypothetical gene.									CT835997 (DDBJ, Best hit)	longestORF				
Os08t0188900-01	Os08g0188900	Germin-like protein 8-1, Disease resistance	GLP8-1, OsGLP8-1	GERMIN-LIKE PROTEIN 8-1, Germin-like protein 8-1	GLP8-1	GERMIN-LIKE PROTEIN 8-1	OsGLP8-1	Germin-like protein 8-1	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710), Germin, manganese binding site (IPR019780)	Inferred from literature	Q6YZB2 (UniProt)	May 28, 2009	19011003		8993
Os08t0189100-01	Os08g0189100	Germin-like protein 8-2, Disease resistance	GLP8-2, OsGLP8-2, GER3, OsGER3, GLP16, OsEnS-117	GERMIN-LIKE PROTEIN 8-2, Germin-like protein 8-2, Germin-like protein 3, Germin-like protein 16, endosperm-specific gene 117	GLP8-2	GERMIN-LIKE PROTEIN 8-2	OsGLP8-2, GER3, OsGER3, GLP16, OsEnS-117	Germin-like protein 8-2, Germin-like protein 3, Germin-like protein 16, endosperm-specific gene 117	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), Germin, manganese binding site (IPR019780)	EF122484 (Genbank), AF042489 (Genbank), EF444528 (Genbank), AK062862 (Genbank)	Q6YZA9 (UniProt)	May 29, 2009	19011003, 11264412	001-108-B05	8239
Os08t0189200-01	Os08g0189200	Germin-like protein 8-3, Disease resistance	GLP8-3, OsGLP8-3, GER2	GERMIN-LIKE PROTEIN 8-3, Germin-like protein 8-3, germin-like protein 2	GLP8-3	GERMIN-LIKE PROTEIN 8-3	OsGLP8-3, GER2	Germin-like protein 8-3, germin-like protein 2	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710), Germin, manganese binding site (IPR019780)	AF032972 (Genbank), AK059781 (Genbank)	Q6YZZ7 (UniProt)	May 29, 2009	19011003, 11264412	006-204-C06	8992
Os08t0189300-01	Os08g0189300	Germin-like protein 8-4, Disease resistance	GLP8-4, OsGLP8-4, GER1	GERMIN-LIKE PROTEIN 8-4, Germin-like protein 8-4, germin-like protein 1	GLP8-4	GERMIN-LIKE PROTEIN 8-4	OsGLP8-4, GER1. OsGer1	Germin-like protein 8-4, germin-like protein 1	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710), Germin, manganese binding site (IPR019780)	AF032971 (Genbank), AK059338 (Genbank)	Q6YZZ6 (UniProt)	May 29, 2009	19011003, 11264412	001-026-B02	10288
Os08t0189400-01	Os08g0189400	Germin-like protein 8-5, Disease resistance	GLP8-5, OsGLP8-5	GERMIN-LIKE PROTEIN 8-5, Germin-like protein 8-5	GLP8-5	GERMIN-LIKE PROTEIN 8-5	OsGLP8-5	Germin-like protein 8-5	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710), Germin, manganese binding site (IPR019780)	Inferred from literature	Q6YZA6 (UniProt)	May 26, 2009	19011003		8240
Os08t0189500-01	Os08g0189500	Germin-like protein 8-6, Disease resistance	GLP8-6, OsGLP8-6	GERMIN-LIKE PROTEIN 8-6, Germin-like protein 8-6	GLP8-6	GERMIN-LIKE PROTEIN 8-6	OsGLP8-6	Germin-like protein 8-6	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710), Germin, manganese binding site (IPR019780)	AK243135 (Genbank)	Q6YZA4 (UniProt)	May 26, 2009	19011003	J100030N12	8241
Os08t0189600-01	Os08g0189600	Germin-like protein 8-7, Disease resistance	GLP8-7, OsGLP8-7, GER6, OsRGLP2, RGLP2	GERMIN-LIKE PROTEIN 8-7, Germin-like protein 8-7, Germin-like protein 6, germin-like protein gene 2, Root GLP 2, root GLP2, root Germin-like protein 2	GLP8-7	GERMIN-LIKE PROTEIN 8-7	OsGLP8-7, GER6, OsRGLP2, RGLP2	Germin-like protein 8-7, Germin-like protein 6, germin-like protein gene 2, Root GLP 2, root GLP2, root Germin-like protein 2	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710), Germin, manganese binding site (IPR019780)	AK061029 (Genbank)	Q6YZZ2 (UniProt)	May 29, 2009	19011003, 11264412	006-204-G10	8242
Os08t0189700-01	Os08g0189700	Germin-like protein 8-8, Disease resistance	GLP8-8, OsGLP8-8	GERMIN-LIKE PROTEIN 8-8, Germin-like protein 8-8	GLP8-8	GERMIN-LIKE PROTEIN 8-8	OsGLP8-8	Germin-like protein 8-8	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), Germin, manganese binding site (IPR019780)	AK241043 (Genbank)	Q6YZA1 (UniProt)	May 26, 2009	19011003		8243
Os08t0189850-01	Os08g0189850	Germin-like protein 8-9, Disease resistance	GLP8-9, OsGLP8-9	GERMIN-LIKE PROTEIN 8-9, Germin-like protein 8-9	GLP8-9	GERMIN-LIKE PROTEIN 8-9	OsGLP8-9	Germin-like protein 8-9	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), Germin, manganese binding site (IPR019780)	Inferred from literature	Q6YZ99 (UniProt)	May 26, 2009	19011003		8244
Os08t0189900-01	Os08g0189900	Germin-like protein 8-10, Disease resistance	GLP8-10, OsGLP8-10	GERMIN-LIKE PROTEIN 8-10, Germin-like protein 8-10	GLP8-10	GERMIN-LIKE PROTEIN 8-10	OsGLP8-10, OsRGLP2, RGLP2	Germin-like protein 8-10	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), Germin, manganese binding site (IPR019780)	AF141879 (Genbank)	Q6YZ97 (UniProt)	May 29, 2009	19011003		10289
Os08t0190100-01	Os08g0190100	Germin-like protein 8-11, Disease resistance	GLP8-11, OsGLP8-11	GERMIN-LIKE PROTEIN 8-11, Germin-like protein 8-11	GLP8-11	GERMIN-LIKE PROTEIN 8-11	OsGLP8-11, RGLP1, OsRGLP1	Germin-like protein 8-11	Cellular Component: apoplast (GO:0048046), Molecular Function: manganese ion binding (GO:0030145), Molecular Function: nutrient reservoir activity (GO:0045735)	Germin (IPR001929), Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710), Germin, manganese binding site (IPR019780)	AF141878 (Genbank)	Q6YZY5 (UniProt)	May 29, 2009	19011003, 11264412		8237
Os08t0190200-00	Os08g0190200	Similar to cDNA clone:J033051E20, full insert sequence.							Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)	RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)	BT041159 (DDBJ)	Q6YZ94 (UniProt)				
Os08t0190225-00	Os08g0190225	Hypothetical protein.									BT009377 (DDBJ)	longestORF				
Os08t0190250-01	Os08g0190250	Hypothetical gene.									AK287733 (DDBJ, Best hit)	longestORF			J065141C21	
Os08t0190300-00	Os08g0190300	Disease resistance protein domain containing protein.							Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)	Disease resistance protein (IPR000767), NB-ARC (IPR002182)	BT085454 (DDBJ)	NP_001061166.1 (RefSeq)				
Os08t0190500-00	Os08g0190500	Conserved hypothetical protein.									ab initio prediction	NP_001061167.1 (RefSeq)				
Os08t0190700-00	Os08g0190700	Conserved hypothetical protein.									ab initio prediction	NP_001061167.1 (RefSeq)				
Os08t0190800-01	Os08g0190800	Postsynaptic protein CRIPT.								PDZ-binding protein, CRIPT (IPR019367)	AK241589 (DDBJ, Best hit)	NP_001150297.1 (RefSeq)			J065182K15	
Os08t0190901-00	Os08g0190901	Non-protein coding transcript.									BT016949 (DDBJ)	NONE				
Os08t0191000-01	Os08g0191000	Auxin efflux carrier domain containing protein.					OsPILS2, PILS2	PIN likes 2	Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)	Auxin efflux carrier (IPR004776)	AK065037 (DDBJ, Best hit)	B6T254 (UniProt)			J013001H10	19846
Os08t0191100-01	Os08g0191100	Aconitase, Response to heat stress	OsACO2, OsACO1	aconitase 2, aconitase 1			OsACO1, ACO1, OsACO2, ACO2	aconitase 1, aconitase 2		Aconitase, iron-sulfur domain (IPR036008), Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3 (IPR015931), Aconitase/3-isopropylmalate dehydratase, swivel (IPR015928), Aconitase/Iron-responsive element-binding protein 2 (IPR006249), Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain (IPR001030), Aconitase A/isopropylmalate dehydratase small subunit, swivel domain (IPR000573), Aconitase family, 4Fe-4S cluster binding site (IPR018136)	AK059070 (truncated), Inferred from literature	Q6YZX6	September 25, 2020	32909184, 25711810	001-021-H03 (truncated)	19292
Os08t0191150-00	Os08g0191150	Non-protein coding transcript.									EU944133 (DDBJ)	NONE				
Os08t0191200-01	Os08g0191200	Phosphoribosylamine-glycine ligase (PurD), Glycinamide ribonucleotide synthetase, Regulation of chloroplast development, chlorophyll metabolism, and cell division during leaf development	VAL1, GARS	VIRESCENT-ALBINO LEAF 1, glycinamide ribonucleotide synthetase	VAL1	VIRESCENT-ALBINO LEAF 1	OsVAL1, PurD, OsPurD		Biological Process: purine nucleobase biosynthetic process (GO:0009113), Molecular Function: phosphoribosylamine-glycine ligase activity (GO:0004637), Molecular Function: ATP binding (GO:0005524), Molecular Function: metal ion binding (GO:0046872)	Pre-ATP-grasp domain superfamily (IPR016185), ATP-grasp fold, subdomain 1 (IPR013815), Rudiment single hybrid motif (IPR011054), Phosphoribosylglycinamide synthetase, C-domain superfamily (IPR037123), Phosphoribosylglycinamide synthetase (IPR000115), Phosphoribosylglycinamide synthetase, N-terminal (IPR020562), ATP-grasp fold (IPR011761), Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain (IPR020561), Phosphoribosylglycinamide synthetase, C-domain (IPR020560), Phosphoribosylglycinamide synthetase, conserved site (IPR020559)	AK067808, AK106101	Q6YZX5	December 7, 2018	30499032, 30102358	J013119I22, 001-207-C06	22586
Os08t0191250-00	Os08g0191250	Hypothetical gene.									BT016971 (DDBJ)	longestORF				
Os08t0191300-00	Os08g0191300	Conserved hypothetical protein.					OsFbox408, Os_F0490	F-box protein 408			EU947520 (DDBJ)	Q6YZX4 (UniProt)				17181
Os08t0191400-01	Os08g0191400	Hypothetical gene.									AK058834 (DDBJ, Best hit)	longestORF			001-004-B10	
Os08t0191433-01	Os08g0191433	Starch synthase, Starch biosynthesis	SSIIIA, OsSSIIIa, SSIII-2, SS3A, OsSSSIIIa	SOLUBLE STARCH SYNTHASE IIIA, SOLUBLE STARCH SYNTHASE III-2	FLO5	FLOURY ENDOSPERM 5	OsSSIIIa, SSIII-2, OsSSIII-2, OsSS3A, SS3A, SS3a, OsSSSIIIa, SSIIIa, Flo5	SOLUBLE STARCH SYNTHASE III-2, SOLUBLE STARCH SYNTHASE IIIA, floury endosperm 5	Biological Process: biosynthetic process (GO:0009058), Biological Process: glucan biosynthetic process (GO:0009250), Molecular Function: starch synthase activity (GO:0009011), Molecular Function: starch binding (GO:2001070)	Glycogen/starch synthase, ADP-glucose type (IPR011835), Carbohydrate binding module family 25 (IPR005085), Starch synthase, catalytic domain (IPR013534), Glycosyl transferase, family 1 (IPR001296)	AY100469 (indica)	Q8L8G9	February 22, 2010	15232694, 17586688, 21595523		6623
Os08t0191433-02	Os08g0191433	Starch synthase, Starch biosynthesis, Amylopectin synthesis	SSIIIa	soluble starch synthase IIIa	FLO5	FLOURY ENDOSPERM 5	OsSSIIIa, SSIII-2, OsSSIII-2, OsSS3A, SS3A, SS3a, OsSSSIIIa, SSIIIa, Flo5	SOLUBLE STARCH SYNTHASE III-2, SOLUBLE STARCH SYNTHASE IIIA, floury endosperm 5	Molecular Function: glycogen (starch) synthase activity (GO:0004373), Molecular Function: starch binding (GO:2001070)	Immunoglobulin-like fold (IPR013783), Bacterial/plant glycogen synthase (IPR011835), Carbohydrate binding module family 25 (IPR005085), Starch synthase, catalytic domain (IPR013534), Glycosyl transferase, family 1 (IPR001296)	Inferred from literature	A0A0P0XCU3-2	May 9, 2019	28088172, 27791174, 21730357		6623
Os08t0191466-00	Os08g0191466	Hypothetical gene.									BT017185 (DDBJ)	longestORF				
Os08t0191600-01	Os08g0191600	Core autophagy gene, Nitrogen use efficiency and yield	OsATG8c	autophagy 8c	ATG8C	AUTOPHAGY ASSOCIATED GENE 8C	OsATG8c	autophagy 8c, OsAuTophaGy8c		Ubiquitin-like domain superfamily (IPR029071), Autophagy protein Atg8 ubiquitin-like (IPR004241)	AK121169, AK062573	Q6Z1D5	October 15, 2019	31597279	J023080P16, 001-046-G05	9646
Os08t0191650-01	Os08g0191650	Hypothetical gene.									AK288198 (DDBJ, Best hit)	longestORF			J090008D19	
Os08t0191700-01	Os08g0191700	Glyoxalase I, Abiotic stress response	GLYI-11, OsGLYI11, GLYI11, OsGLYI11.2, OsGLYI-11.2, Glb33	GLYOXALASE I-11, glyoxalase I-11, 33-kDa Allergen	GLYI-11	GLYOXALASE I-11	OsGLYI11, GLYI11, OsGLYII1.1, OsGLYI11.2, OsGLYI11.3, OsGLYI-11.2, Glb33	glyoxalase I-11, 33-kDa Allergen	Molecular Function: lactoylglutathione lyase activity (GO:0004462), Molecular Function: metal ion binding (GO:0046872)	Glyoxalase I (IPR004361), Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase (IPR029068), Glyoxalase/fosfomycin resistance/dioxygenase domain (IPR004360), Glyoxalase I, conserved site (IPR018146)	AK066092, AK103694	Q948T6	January 26, 2015	24661284, 21213008	J013055G04, J033136J17	9361
Os08t0191700-02	Os08g0191700	Glyoxalase I, Splicing variant, Stress tolerance	GLYI-11, OsGLYI11.3, OsGLYI11, GLYI11	GLYOXALASE I-11, glyoxalase I-11	GLYI-11	GLYOXALASE I-11	OsGLYI11, GLYI11, OsGLYII1.1, OsGLYI11.2, OsGLYI11.3, OsGLYI-11.2, Glb33	glyoxalase I-11, 33-kDa Allergen	Molecular Function: lactoylglutathione lyase activity (GO:0004462), Molecular Function: metal ion binding (GO:0046872)	Glyoxalase I (IPR004361), Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase (IPR029068), Glyoxalase/fosfomycin resistance/dioxygenase domain (IPR004360)	AK121126	B7F6T2	January 26, 2015	24661284, 21213008	J023075A08	9361
Os08t0191700-03	Os08g0191700	Similar to Lactoylglutathione lyase (EC 4.4.1.5) (Methylglyoxalase) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (S-D- lactoylglutathione methylglyoxal lyase).			GLYI-11	GLYOXALASE I-11	OsGLYI11, GLYI11, OsGLYII1.1, OsGLYI11.2, OsGLYI11.3, OsGLYI-11.2, Glb33	glyoxalase I-11, 33-kDa Allergen	Molecular Function: lactoylglutathione lyase activity (GO:0004462), Molecular Function: metal ion binding (GO:0046872)	Glyoxalase/fosfomycin resistance/dioxygenase (IPR004360), Glyoxalase I (IPR004361), Glyoxalase I, conserved site (IPR018146)	AK104866 (DDBJ, Best hit)	Q948T6 (UniProt)			001-043-H02	9361
Os08t0191700-04	Os08g0191700	Glyoxalase I, Splicing variant, Stress tolerance	GLYI-11, OsGLYI11.1, OsGLYI11, GLYI11	GLYOXALASE I-11, glyoxalase I-11	GLYI-11	GLYOXALASE I-11	OsGLYI11, GLYI11, OsGLYII1.1, OsGLYI11.2, OsGLYI11.3, OsGLYI-11.2, Glb33	glyoxalase I-11, 33-kDa Allergen	Molecular Function: lactoylglutathione lyase activity (GO:0004462), Molecular Function: metal ion binding (GO:0046872)	Glyoxalase I (IPR004361), Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase (IPR029068), Glyoxalase/fosfomycin resistance/dioxygenase domain (IPR004360), Glyoxalase I, conserved site (IPR018146)	Inferred from literature	Inferred from literature	January 26, 2015	24661284, 21213008		9361
